Date,Close/Last,Volume,Open,High,Low
10/16/2020,$146.12,2919724,$147.11,$148.38,$146.00
10/15/2020,$146.78,3785950,$146.51,$146.91,$145.38
10/14/2020,$148.46,2710585,$150.38,$150.60,$147.71
10/13/2020,$150.08,5963891,$153.00,$154.3269,$148.55
10/12/2020,$154.49,3242667,$156.83,$157.15,$154.42
10/09/2020,$156.88,4590567,$154.09,$157.15,$154.07
10/08/2020,$153.50,4686102,$152.40,$153.94,$150.50
10/07/2020,$148.96,4602829,$148.52,$149.89,$146.85
10/06/2020,$144.13,2409309,$146.93,$147.83,$143.93
10/05/2020,$146.63,2790616,$145.07,$147.47,$144.18
10/02/2020,$145.21,3879999,$143.67,$146.94,$143.27
10/01/2020,$144.29,3809247,$148.33,$148.705,$144.06
09/30/2020,$148.02,5083858,$146.40,$148.445,$145.06
09/29/2020,$146.26,3308955,$147.98,$148.44,$145.93
09/28/2020,$148.10,2427522,$151.00,$151.58,$147.90
09/25/2020,$150.26,2440587,$148.39,$150.40,$147.85
09/24/2020,$148.81,3424319,$149.26,$149.66,$147.37
09/23/2020,$149.81,3546101,$150.05,$151.59,$148.70
09/22/2020,$149.86,2926393,$150.91,$151.57,$149.15
09/21/2020,$151.18,3501584,$153.17,$153.66,$149.06
09/18/2020,$154.17,13210110,$152.04,$154.50,$152.04
09/17/2020,$152.47,3620831,$150.13,$152.68,$149.455
09/16/2020,$150.96,3619715,$151.72,$152.68,$150.79
09/15/2020,$150.08,2923507,$149.96,$151.87,$149.415
09/14/2020,$149.00,3072507,$149.09,$150.505,$147.47
09/11/2020,$148.09,3001470,$147.56,$149.185,$146.88
09/10/2020,$146.22,3961343,$149.88,$150.60,$145.715
09/09/2020,$151.97,2328525,$150.62,$154.12,$150.31
09/08/2020,$149.31,4351532,$150.95,$151.31,$148.50
09/04/2020,$150.91,4361833,$148.77,$152.58,$147.95
09/03/2020,$149.02,4226126,$152.19,$153.37,$147.46
09/02/2020,$149.55,2407127,$146.79,$150.00,$146.51
